excel_row,row_class,category,item_name_raw,unit_raw,opening_raw,opening_numeric,inbound,outbound,current_raw,current_numeric,computable_current,current_status,minimum,status_excel,class_reason
3,REAL_ITEM,أدوات المطبخ,مقالية تيفال,عدد,2,2,0,0,2,2,2,VERIFIED,,—,has category + item name; treated as master by dry-run importer
4,REAL_ITEM,أدوات المطبخ,ابريق بالستيك,عدد,2,2,0,0,2,2,2,VERIFIED,,—,has category + item name; treated as master by dry-run importer
5,REAL_ITEM,أدوات المطبخ,طناجر صغيرة,عدد,3,3,0,0,3,3,3,VERIFIED,,—,has category + item name; treated as master by dry-run importer
6,REAL_ITEM,أدوات المطبخ,سوسيرة بالستيك,عدد,4,4,0,0,4,4,4,VERIFIED,,—,has category + item name; treated as master by dry-run importer
7,REAL_ITEM,أدوات المطبخ,سطل كبير,عدد,3,3,0,0,3,3,3,VERIFIED,,—,has category + item name; treated as master by dry-run importer
8,REAL_ITEM,أدوات المطبخ,طنجرة ستالس كبيرة,عدد,1,1,0,0,1,1,1,VERIFIED,,—,has category + item name; treated as master by dry-run importer
9,REAL_ITEM,أدوات المطبخ,مكيال بالستيك,عدد,3,3,0,0,3,3,3,VERIFIED,,—,has category + item name; treated as master by dry-run importer
10,REAL_ITEM,أدوات المطبخ,ممسحة شيف خرقة ) (,عدد,6,6,0,0,6,6,6,VERIFIED,,—,has category + item name; treated as master by dry-run importer
11,REAL_ITEM,أدوات المطبخ,معالق طعام,عدد,10,10,0,0,10,10,10,VERIFIED,,—,has category + item name; treated as master by dry-run importer
12,REAL_ITEM,أدوات المطبخ,دفات تقطيع كبيرة,عدد,2,2,0,0,2,2,2,VERIFIED,,—,has category + item name; treated as master by dry-run importer
13,REAL_ITEM,أدوات المطبخ,دفات تقطيع,عدد,3,3,0,0,3,3,3,VERIFIED,,—,has category + item name; treated as master by dry-run importer
14,REAL_ITEM,أدوات المطبخ,وزرة جلي,عدد,2,2,0,0,2,2,2,VERIFIED,,—,has category + item name; treated as master by dry-run importer
15,REAL_ITEM,أدوات المطبخ,مصافي صغيرة,عدد,3,3,0,0,3,3,3,VERIFIED,,—,has category + item name; treated as master by dry-run importer
16,REAL_ITEM,أدوات المطبخ,كف للفرن,عدد,1,1,0,0,1,1,1,VERIFIED,,—,has category + item name; treated as master by dry-run importer
17,REAL_ITEM,أدوات المطبخ,سكوار طاسة,عدد,8,8,0,0,8,8,8,VERIFIED,,—,has category + item name; treated as master by dry-run importer
18,REAL_ITEM,أدوات المطبخ,سكوار ميونيز,عدد,4,4,0,0,4,4,4,VERIFIED,,—,has category + item name; treated as master by dry-run importer
19,REAL_ITEM,أدوات المطبخ,غطاء سكوار ميونيز,عدد,2,2,0,0,2,2,2,VERIFIED,,—,has category + item name; treated as master by dry-run importer
20,REAL_ITEM,أدوات المطبخ,سكوار انتر,عدد,3,3,0,0,3,3,3,VERIFIED,,—,has category + item name; treated as master by dry-run importer
21,REAL_ITEM,أدوات المطبخ,غطاء سكوار انتر,عدد,3,3,0,0,3,3,3,VERIFIED,,—,has category + item name; treated as master by dry-run importer
22,REAL_ITEM,أدوات المطبخ,تربيعة ستالس,عدد,2,2,0,0,2,2,2,VERIFIED,,—,has category + item name; treated as master by dry-run importer
23,REAL_ITEM,أدوات المطبخ,جاط ستالس كبير,عدد,1,1,0,0,1,1,1,VERIFIED,,—,has category + item name; treated as master by dry-run importer
24,REAL_ITEM,أدوات المطبخ,جاط ستالس صغير,عدد,1,1,0,0,1,1,1,VERIFIED,,—,has category + item name; treated as master by dry-run importer
25,REAL_ITEM,أدوات المطبخ,مصافي جاط ستالس,عدد,3,3,0,0,3,3,3,VERIFIED,,—,has category + item name; treated as master by dry-run importer
26,REAL_ITEM,أدوات المطبخ,معلقة نشا كبيرة خشب,عدد,1,1,0,0,1,1,1,VERIFIED,,—,has category + item name; treated as master by dry-run importer
27,REAL_ITEM,أدوات المطبخ,برميل للنشا مع غطاء,عدد,1,1,0,0,1,1,1,VERIFIED,,—,has category + item name; treated as master by dry-run importer
28,REAL_ITEM,أدوات المطبخ,مطربان بهارات كبير,عدد,4,4,0,0,4,4,4,VERIFIED,,—,has category + item name; treated as master by dry-run importer
29,REAL_ITEM,أدوات المطبخ,مصافي انتر كبير,عدد,2,2,0,0,2,2,2,VERIFIED,,—,has category + item name; treated as master by dry-run importer
30,REAL_ITEM,أدوات المطبخ,مشاحف,عدد,5,5,0,0,5,5,5,VERIFIED,,—,has category + item name; treated as master by dry-run importer
31,REAL_ITEM,أدوات المطبخ,قطاعة صندويش شاورما,عدد,2,2,0,0,2,2,2,VERIFIED,,—,has category + item name; treated as master by dry-run importer
32,REAL_ITEM,أدوات المطبخ,مضرب خلط كبير,عدد,1,1,0,0,1,1,1,VERIFIED,,—,has category + item name; treated as master by dry-run importer
33,REAL_ITEM,أدوات المطبخ,مضرب خلط صغير,عدد,2,2,0,0,2,2,2,VERIFIED,,—,has category + item name; treated as master by dry-run importer
34,REAL_ITEM,أدوات المطبخ,صحون بالستيك اسود ) (,عدد,3,3,0,0,3,3,3,VERIFIED,,—,has category + item name; treated as master by dry-run importer
